,good,,,bad,,,,,titles,good,bad,good %
561,anim,561,anim,161,,,,,disast,2,0,100.00%
503,famili,503,famili,100,,,,,film,4,0,100.00%
412,comedi,412,comedi,96,,,,,melodrama,1,0,100.00%
341,action,341,action,86,,,,,opera,1,0,100.00%
341,adventur,341,adventur,86,,,,,surviv,3,0,100.00%
170,come,170,natur,61,,,,,travel,1,0,100.00%
137,natur,137,documentari,47,,,,,histor,40,6,86.96%
135,fantasi,135,fantasi,45,,,,,come,170,29,85.43%
116,documentari,116,kid,36,,,,,famili,503,100,83.42%
100,drama,100,come,29,,,,,danc,5,1,83.33%
100,kid,100,drama,25,,,,,mysteri,10,2,83.33%
65,scienc,65,fiction,22,,,,,sport,35,7,83.33%
65,fiction,65,music,21,,,,,buddi,32,7,82.05%
62,music,62,biograph,14,,,,,comedi,412,96,81.10%
40,histor,40,realiti,14,,,,,drama,100,25,80.00%
35,sport,35,antholog,10,,,,,thriller,4,1,80.00%
32,buddi,32,sport,7,,,,,action,341,86,79.86%
24,biograph,24,buddi,7,,,,,adventur,341,86,79.86%
16,antholog,16,histor,6,,,,,romanc,15,4,78.95%
15,romanc,15,varieti,5,,,,,superhero,15,4,78.95%
15,superhero,15,superhero,4,,,,,anim,561,161,77.70%
11,crime,11,crime,4,,,,,fantasi,135,45,75.00%
10,mysteri,10,game,4,,,,,lifestyl,6,2,75.00%
9,realiti,9,competit,4,,,,,scienc,65,22,74.71%
6,parodi,6,romanc,4,,,,,fiction,65,22,74.71%
6,lifestyl,6,concert,3,,,,,music,62,21,74.70%
6,game,6,parodi,3,,,,,kid,100,36,73.53%
6,competit,6,lifestyl,2,,,,,crime,11,4,73.33%
5,danc,5,medic,2,,,,,western,5,2,71.43%
5,western,5,spi,2,,,,,documentari,116,47,71.17%
4,varieti,4,espionag,2,,,,,natur,137,61,69.19%
4,medic,4,western,2,,,,,medic,4,2,66.67%
4,thriller,4,mysteri,2,,,,,parodi,6,3,66.67%
4,concert,4,romant,1,,,,,biograph,24,14,63.16%
4,film,4,thriller,1,,,,,antholog,16,10,61.54%
3,surviv,3,talk,1,,,,,competit,6,4,60.00%
2,disast,2,danc,1,,,,,game,6,4,60.00%
1,opera,1,,,,,,,concert,4,3,57.14%
1,melodrama,1,,,,,,,romant,1,1,50.00%
1,romant,1,,,,,,,varieti,4,5,44.44%
1,spi,1,,,,,,,realiti,9,14,39.13%
1,travel,1,,,,,,,spi,1,2,33.33%
,,,,,,,,,espionag,0,2,0.00%
,,,,,,,,,talk,0,1,0.00%
